----system---- ----total-usage---- ------memory-usage----- -dsk/total- --io/total- nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ| read  writ|util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util
03-01 15:40:52| 30  24  30  14   0|5532M  388M   24M   14G|  91M  844M|10.3k 38.3k|   0:11.6:94.7:90.8:11.8:98.9:12.7:12.6:98.4:94.9:10.7:90.6:94.6:10.4:9.89:89.9:9.79
03-01 15:40:53| 50  37   1  10   0|5550M  486M   24M   13G| 154M  244M|17.4k 11.6k|0.40:17.9:92.1:85.7:18.0:99.7:18.0:18.0:99.7:91.6:19.6:83.2:89.1:19.5:19.8:84.2:19.3
03-01 15:40:54| 49  38   1  10   0|5573M  299M   24M   14G| 150M  244M|17.1k 11.8k|1.20:18.1:91.1:85.7:17.8: 100:19.7:19.5: 100:90.4:17.9:84.3:89.4:18.0:18.4:83.4:18.3
03-01 15:40:55| 49  38   1  11   0|5606M  411M   24M   13G| 144M  274M|16.4k 13.2k|0.10:16.7:90.2:86.3:17.1: 100:18.0:17.8: 100:90.6:17.6:85.0:90.7:18.1:19.8:83.2:19.9
03-01 15:40:56| 48  36   2  11   0|5614M  516M   24M   13G| 134M  320M|15.5k 16.6k|0.10:20.6:93.1:87.4:20.3:99.8:18.9:19.1:99.8:91.6:18.2:86.5:92.5:17.6:18.0:85.3:18.4
03-01 15:40:57| 45  34   2  16   0|5614M  358M   24M   13G| 127M  112M|14.7k 10.9k|1.20:17.7:92.4:87.6:18.0:99.7:18.7:18.7:99.8:87.7:19.5:80.0:85.0:19.2:19.8:77.7:19.3
03-01 15:40:58| 28  23   7  38   0|5623M  244M   24M   14G|  84M  145M|9538  15.9k|0.40:16.3:90.3:84.8:16.3: 100:16.7:16.4:99.9:88.3:15.9:82.3:87.8:16.0:17.8:80.0:17.9
03-01 15:40:59| 37  30   3  25   0|5624M  249M   24M   14G| 106M  207M|12.1k 16.3k|0.60:19.5: 100: 100:19.4:90.3:21.5:21.0:84.4:89.9:22.3:83.6:90.2:22.0:19.3:83.5:19.2
03-01 15:41:00| 37  30   2  25   0|5625M  251M   24M   14G| 106M  136M|12.2k 13.9k|0.40:21.8: 100: 100:21.5:89.9:20.3:20.3:81.2:87.4:20.0:81.3:88.4:19.4:21.7:79.9:22.1
03-01 15:41:01| 39  30   3  24   0|5617M  263M   24M   14G| 107M  128M|12.3k 13.4k|0.10:21.5:99.9:99.8:21.7:90.4:20.8:20.7:85.2:88.4:22.2:81.1:87.8:21.3:19.1:81.0:18.8
03-01 15:41:02| 24  20  11  41   0|5618M  317M   24M   13G|  66M  155M|7613  17.8k|0.50:16.5:97.0:97.0:16.4:91.3:15.8:15.8:88.6:87.1:11.8:82.5:91.5:11.9:16.7:86.0:16.8
03-01 15:41:03| 22  17   7  51   0|5620M  240M   24M   14G|  58M  157M|6465  18.2k|0.40:12.0:89.7:85.8:11.8:97.3:14.1:14.3:94.9:89.1:13.4:84.3:86.1:13.9:11.8:81.9:11.6
03-01 15:41:04|  0   1   0  98   0|5631M  229M   24M   14G|8193B  193M|2.00  24.1k|0.20:0.10:84.3:84.1:   0: 100:   0:   0:99.8:84.8:   0:85.6:84.7:   0:   0:84.9:   0
03-01 15:41:05|  2   3   2  92   0|5627M  227M   24M   14G|5155k  272M| 580  27.0k|0.30:0.20:86.0:85.3:0.20:99.1:1.60:1.60:99.1:89.7:1.90:89.1:86.4:1.80:0.10:86.2:0.10
03-01 15:41:06| 38  31   3  23   0|5621M  241M   24M   14G| 102M  206M|11.7k 17.9k|0.10:19.9:89.6:82.6:19.9:99.8:19.1:19.2:99.5:90.9:19.5:85.0:90.7:19.3:23.2:84.9:23.0
03-01 15:41:07| 39  30   3  22   0|5620M  250M   24M   14G| 100M  134M|11.6k 14.3k|0.20:19.6:87.6:80.5:19.5: 100:20.2:20.7: 100:88.8:19.9:80.5:89.7:20.5:21.4:83.1:21.5
03-01 15:41:08| 40  32   3  20   0|5621M  255M   24M   14G| 103M  135M|11.9k 14.0k|0.10:20.7:90.0:81.4:20.6: 100:21.5:22.1: 100:88.9:20.7:81.5:89.5:20.3:19.6:83.2:19.3
03-01 15:41:09| 37  28   3  27   0|5621M  277M   24M   14G|  90M  139M|10.5k 15.0k|0.10:19.4:94.8:89.8:19.9:98.1:20.0:19.9:96.3:88.6:22.1:81.4:88.1:21.9:20.4:83.0:20.7
03-01 15:41:10| 39  30   3  22   0|5622M  289M   24M   14G| 100M  153M|11.4k 15.6k|0.10:18.9:93.0:85.2:19.0: 100:20.5:20.6: 100:91.5:21.2:86.8:91.2:21.2:20.3:84.0:19.9
03-01 15:41:11| 37  30   3  25   0|5621M  311M   24M   14G|  94M  142M|10.7k 15.5k|0.70:21.4:99.2:99.0:21.6:91.6:19.1:18.9:85.0:90.0:20.1:82.3:90.5:19.9:21.9:82.9:21.6
03-01 15:41:12| 29  24   6  38   0|5623M  212M   24M   14G|  72M  155M|8241  17.5k|0.20:15.5:99.6:99.6:15.8:89.4:15.2:15.3:81.2:88.9:16.1:83.1:87.3:16.0:17.2:81.8:17.0
03-01 15:41:13| 29  23   7  36   0|5628M  256M   24M   14G|  71M  152M|8069  17.1k|   0:15.7:92.6:88.7:15.7:99.6:15.1:15.1:98.8:88.6:18.8:83.2:84.2:18.3:17.5:80.6:17.9
03-01 15:41:14| 22  19  13  43   0|5622M  333M   24M   13G|  54M  163M|6188  18.7k|   0:16.3:84.5:80.5:16.3:99.3:13.2:13.3:99.5:87.3:12.8:85.0:89.2:12.9:12.4:83.9:12.3
03-01 15:41:15| 23  18  24  33   0|5628M  254M   24M   14G|  54M  160M|6078  18.4k|0.30:16.1:87.0:80.8:16.1:99.1:10.9:10.9:99.0:88.9:13.0:83.2:90.1:13.1:10.4:85.2:10.5
03-01 15:41:16| 26  21  24  27   0|5624M  323M   24M   13G|  60M  167M|6855  18.3k|0.60:12.0:89.9:84.7:12.2:99.8:13.0:12.8:99.8:86.3:14.2:83.3:88.4:14.0:15.2:82.8:15.3
03-01 15:41:17| 12   9  36  41   0|5631M  285M   24M   14G|  26M  179M|3015  21.4k|0.10:4.40:85.2:84.2:4.10:98.0:5.70:5.70:97.8:83.5:5.40:82.8:82.9:5.80:5.80:81.1:5.60
03-01 15:41:18| 14  11  31  42   0|5630M  247M   24M   14G|  33M  178M|3730  20.8k|   0:8.90:86.9:85.1:8.90: 100:7.70:7.10: 100:85.2:6.00:83.3:86.8:6.10:6.60:84.2:6.70
03-01 15:41:19| 43  33   6  16   0|5627M  275M   24M   14G| 101M  133M|11.4k 13.9k|   0:17.3:88.8:78.4:17.4: 100:17.8:18.3: 100:85.4:19.4:79.7:87.4:18.5:18.2:81.6:17.9
03-01 15:41:20| 25  20  12  40   0|5631M  194M   24M   14G|  59M  161M|6719  18.6k|0.70:11.5:88.5:84.8:11.6:98.5:11.4:11.5:98.5:84.9:13.7:81.2:89.0:14.0:13.0:82.6:12.7
03-01 15:41:21| 26  20  15  36   0|5630M  253M   24M   14G|  60M  157M|6829  17.7k|0.10:12.3:86.0:81.7:12.0: 100:16.8:16.5: 100:85.7:13.6:82.6:86.5:13.9:11.8:81.5:12.3
03-01 15:41:22| 41  33   3  21   0|5630M  273M   24M   14G|  94M  148M|10.8k 15.4k|   0:20.3:88.9:82.8:20.0: 100:18.7:18.7: 100:90.5:21.7:83.1:90.8:21.4:20.7:84.2:21.0
03-01 15:41:23| 23  19  18  37   0|5631M  202M   24M   14G|  54M  165M|6010  19.3k|0.20:13.8:90.0:85.2:13.9:99.0:18.8:18.3:99.1:87.3:15.7:80.9:88.2:15.4:11.4:84.1:11.1
03-01 15:41:24| 26  20   8  41   0|5628M  251M   24M   14G|  60M  159M|6733  18.3k|0.10:15.5:85.3:81.8:15.5: 100:18.8:18.5: 100:84.1:13.4:80.0:84.7:13.6:14.8:79.5:14.7
03-01 15:41:25| 19  16  20  43   0|5632M  321M   24M   13G|  46M  168M|5133  19.9k|0.20:13.7:89.3:85.0:13.5:97.5:14.3:14.7:97.3:87.3:12.8:84.1:92.2:13.1:11.7:86.9:11.4
03-01 15:41:26| 25  21  18  31   0|5632M  241M   24M   14G|  63M  168M|7084  19.1k|0.50:17.2:90.7:83.2:17.1:98.5:17.8:17.9:97.9:88.7:20.9:84.4:89.2:21.2:19.3:81.5:19.1
03-01 15:41:27| 21  17  25  33   0|5632M  314M   24M   13G|  52M  171M|5837  19.3k|   0:10.5:88.6:82.3:10.9:99.9:14.8:14.7:99.9:87.4:22.5:82.9:87.8:22.3:21.0:84.4:21.1
03-01 15:41:28| 37  29   9  21   0|5632M  203M   24M   14G|  87M  148M|9782  16.3k|0.10:17.6:90.4:84.7:17.9: 100:21.0:21.3: 100:90.3:18.1:82.9:92.5:18.0:19.1:85.6:18.7
03-01 15:41:29| 42  33   3  19   0|5635M  214M   24M   14G|  97M  138M|10.8k 14.8k|0.20:20.7:88.2:80.8:21.0: 100:18.3:18.4: 100:89.1:21.2:81.6:88.9:21.1:21.7:81.5:21.0
03-01 15:41:30| 43  34   3  17   0|5634M  231M   24M   14G|  99M  134M|11.1k 14.3k|0.20:19.1:86.5:79.6:18.9: 100:20.0:20.0: 100:88.5:20.4:81.8:86.5:20.4:20.8:80.5:20.1
03-01 15:41:31| 43  33   2  18   0|5627M  253M   24M   14G|  99M  145M|11.1k 15.1k|   0:20.6:88.1:79.3:19.9: 100:20.3:20.0: 100:88.8:20.2:82.8:89.7:19.9:18.3:81.6:18.2
03-01 15:41:32| 28  24  11  33   0|5624M  311M   24M   13G|  67M  165M|7486  18.4k|0.40:13.3:89.6:83.7:13.6:98.1:15.3:15.8:97.8:89.4:13.9:86.5:92.8:13.5:22.3:85.9:22.5
03-01 15:41:33| 27  26  13  30   0|5629M  222M   24M   14G|  63M  160M|7103  18.2k|0.30:15.6:87.1:82.5:16.0:96.4:16.2:16.2:96.1:89.0:13.5:84.5:89.8:13.3:12.8:84.7:12.7
03-01 15:41:34|  1  26  46  25   0|4704M 1146M   24M   14G| 795k  191M|80.7  23.9k|0.61:   0:90.2:79.4:   0:81.5:   0:   0:80.7:90.4:   0:78.0:81.8:   0:1.11:79.2:1.11
03-01 15:41:35|  1   1  74  24   0|4704M 1145M   24M   14G|   0   190M|   0  24.0k|0.30:   0:83.5:82.8:   0:82.2:   0:   0:82.1:85.7:   0:84.5:99.9:   0:   0:97.8:   0
